uid,language,in_production,description,uid
8026,Python,f,project0,1068
8027,Java,f,project1,739
8028,Python,t,project2,718
8029,Rust,t,project3,1136
8030,Go,f,project4,1043
8031,Java,f,project5,1342
8032,Rust,t,project6,779
8033,Go,f,project7,1066
8034,Java,t,project8,749
8035,Java,t,project9,795
8036,Python,f,project10,711
8037,Python,f,project11,783
8038,Rust,t,project12,1009
8039,Go,t,project13,867
8040,Rust,t,project14,897
8041,Go,t,project15,947
8042,Go,f,project16,1213
8043,Python,f,project17,1179
8044,Go,f,project18,1054
8045,Go,f,project19,1030
8046,Python,f,project20,1159
8047,Go,f,project21,884
8048,Go,t,project22,1005
8049,Go,t,project23,735
8050,Go,f,project24,829
8051,Python,t,project25,787
8052,Python,f,project26,1200
8053,Go,t,project27,936
8054,Java,f,project28,962
8055,Python,t,project29,753
8056,Java,f,project30,951
8057,Rust,t,project31,1304
8058,Go,f,project32,930
8059,Rust,t,project33,872
8060,Rust,f,project34,967
8061,Rust,t,project35,1130
8062,Rust,t,project36,837
8063,Python,f,project37,735
8064,Rust,f,project38,1065
8065,Python,f,project39,1053
8066,Python,f,project40,1283
8067,Go,t,project41,1268
8068,Java,f,project42,873
8069,Java,t,project43,1074
8070,Rust,t,project44,1262
8071,Rust,f,project45,1250
8072,Java,f,project46,742
8073,Go,t,project47,680
8074,Rust,t,project48,1192
8075,Go,f,project49,946
8076,Java,t,project50,1054
8077,Rust,f,project51,1310
8078,Go,t,project52,1118
8079,Java,t,project53,840
8080,Java,t,project54,1097
8081,Rust,t,project55,1078
8082,Java,f,project56,771
8083,Python,f,project57,685
8084,Go,t,project58,1339
8085,Java,f,project59,740
8086,Go,f,project60,1308
8087,Java,f,project61,944
8088,Python,f,project62,876
8089,Rust,t,project63,861
8090,Python,f,project64,874
8091,Python,t,project65,1202
8092,Java,t,project66,1162
8093,Python,t,project67,1125
8094,Java,f,project68,1157
8095,Python,f,project69,866
8096,Go,f,project70,1241
8097,Java,f,project71,842
8098,Python,f,project72,1085
8099,Java,f,project73,1088
8100,Python,f,project74,896
8101,Java,t,project75,984
8102,Rust,t,project76,1229
8103,Java,t,project77,984
8104,Java,f,project78,948
8105,Java,t,project79,1053
8106,Java,t,project80,1000
8107,Go,t,project81,761
8108,Java,t,project82,1115
8109,Rust,f,project83,936
8110,Java,t,project84,1136
8111,Java,t,project85,960
8112,Java,t,project86,1228
8113,Java,f,project87,1138
8114,Rust,f,project88,744
8115,Rust,t,project89,749
8116,Python,f,project90,1303
8117,Java,f,project91,1262
8118,Rust,t,project92,908
8119,Java,t,project93,1308
8120,Go,f,project94,1160
8121,Python,f,project95,1168
8122,Python,t,project96,1141
8123,Rust,f,project97,983
8124,Python,f,project98,804
8125,Python,t,project99,1017
8126,Rust,t,project100,797
8127,Python,t,project101,1097
8128,Python,f,project102,942
8129,Go,t,project103,1037
8130,Go,t,project104,886
8131,Rust,t,project105,1168
8132,Go,t,project106,1325
8133,Python,t,project107,754
8134,Go,f,project108,715
8135,Rust,f,project109,1267
8136,Java,f,project110,1102
8137,Rust,f,project111,905
8138,Rust,t,project112,893
8139,Java,f,project113,1168
8140,Go,f,project114,1341
8141,Python,t,project115,912
8142,Python,t,project116,1285
8143,Java,t,project117,1133
8144,Python,f,project118,697
8145,Rust,f,project119,1247
8146,Rust,t,project120,689
8147,Java,t,project121,711
8148,Rust,f,project122,1126
8149,Java,t,project123,870
8150,Java,f,project124,1206
8151,Rust,f,project125,885
8152,Java,f,project126,916
8153,Java,f,project127,1148
8154,Java,f,project128,1153
8155,Rust,f,project129,890
8156,Go,f,project130,869
8157,Java,t,project131,932
8158,Rust,t,project132,1016
8159,Go,t,project133,962
8160,Rust,f,project134,1260
8161,Rust,t,project135,1196
8162,Rust,f,project136,686
8163,Python,f,project137,1157
8164,Go,t,project138,1338
8165,Go,f,project139,1195
8166,Go,t,project140,1133
8167,Go,t,project141,1266
8168,Rust,t,project142,857
8169,Go,t,project143,828
8170,Java,t,project144,830
8171,Rust,t,project145,847
8172,Rust,f,project146,1041
8173,Java,t,project147,1012
8174,Java,f,project148,904
8175,Java,f,project149,853
8176,Rust,f,project150,1045
8177,Go,t,project151,1322
8178,Rust,f,project152,1068
8179,Python,f,project153,730
8180,Rust,t,project154,1168
8181,Python,f,project155,781
8182,Python,f,project156,1074
8183,Python,t,project157,1244
8184,Rust,f,project158,1021
8185,Go,t,project159,888
8186,Java,t,project160,747
8187,Java,f,project161,1080
8188,Rust,t,project162,1050
8189,Java,t,project163,1171
8190,Rust,f,project164,1116
8191,Rust,t,project165,946
8192,Rust,f,project166,693
8193,Java,f,project167,871
8194,Python,f,project168,877
8195,Go,f,project169,1276
8196,Python,t,project170,1030
8197,Rust,t,project171,1028
8198,Java,t,project172,796
8199,Rust,t,project173,1229
8200,Go,t,project174,941
8201,Rust,t,project175,1128
8202,Go,f,project176,959
8203,Python,t,project177,1219
8204,Python,f,project178,1232
8205,Java,f,project179,817
8206,Go,t,project180,917
8207,Java,f,project181,1006
8208,Python,f,project182,1093
8209,Rust,t,project183,1177
8210,Go,f,project184,1157
8211,Java,f,project185,1263
8212,Rust,f,project186,717
8213,Java,f,project187,1312
8214,Rust,f,project188,1049
8215,Go,f,project189,905
8216,Go,f,project190,885
8217,Rust,t,project191,1133
8218,Go,f,project192,980
8219,Go,t,project193,768
8220,Go,t,project194,719
8221,Java,t,project195,1038
8222,Rust,f,project196,1167
8223,Python,t,project197,949
8224,Go,f,project198,716
8225,Go,f,project199,1034
8226,Rust,t,project200,1080
8227,Java,f,project201,1310
8228,Java,t,project202,838
8229,Go,t,project203,713
8230,Go,t,project204,869
8231,Rust,t,project205,1215
8232,Rust,t,project206,890
8233,Go,t,project207,686
8234,Go,f,project208,691
8235,Python,f,project209,911
8236,Java,f,project210,845
8237,Java,t,project211,1149
8238,Rust,t,project212,693
8239,Java,f,project213,1188
8240,Rust,f,project214,1182
8241,Rust,f,project215,848
8242,Rust,f,project216,1069
8243,Go,t,project217,1166
8244,Go,f,project218,815
8245,Java,t,project219,855
8246,Python,t,project220,1203
8247,Rust,f,project221,1091
8248,Java,t,project222,780
8249,Java,f,project223,1157
8250,Java,t,project224,1241
8251,Python,f,project225,702
8252,Java,t,project226,931
8253,Rust,t,project227,1147
8254,Java,t,project228,769
8255,Rust,t,project229,963
8256,Go,f,project230,929
8257,Go,f,project231,1087
8258,Python,f,project232,911
8259,Python,t,project233,1041
8260,Go,f,project234,832
8261,Go,t,project235,1107
8262,Go,f,project236,1008
8263,Python,t,project237,1275
8264,Go,t,project238,925
8265,Python,f,project239,995
8266,Java,f,project240,1322
8267,Go,t,project241,817
8268,Go,t,project242,874
8269,Go,f,project243,999
8270,Go,f,project244,1140
8271,Go,t,project245,1089
8272,Go,f,project246,762
8273,Rust,t,project247,748
8274,Java,t,project248,897
8275,Java,f,project249,980
8276,Rust,f,project250,1006
8277,Java,f,project251,846
8278,Rust,f,project252,859
8279,Java,t,project253,875
8280,Rust,t,project254,1106
8281,Python,t,project255,1052
8282,Java,f,project256,842
8283,Python,t,project257,764
8284,Go,f,project258,731
8285,Rust,t,project259,943
8286,Java,f,project260,966
8287,Java,f,project261,875
8288,Java,f,project262,811
8289,Rust,f,project263,1191
8290,Go,f,project264,1087
8291,Rust,t,project265,718
8292,Go,t,project266,948
8293,Go,f,project267,806
8294,Java,f,project268,818
8295,Go,t,project269,707
8296,Rust,t,project270,1196
8297,Rust,t,project271,709
8298,Java,f,project272,1092
8299,Java,t,project273,1161
8300,Java,f,project274,1248
8301,Rust,t,project275,1028
8302,Java,f,project276,735
8303,Python,t,project277,726
8304,Go,t,project278,741
8305,Go,f,project279,1164
8306,Go,t,project280,1222
8307,Rust,t,project281,758
8308,Rust,t,project282,1003
8309,Python,f,project283,760
8310,Go,f,project284,927
8311,Python,t,project285,897
8312,Java,f,project286,1057
8313,Go,t,project287,895
8314,Java,f,project288,743
8315,Go,f,project289,1228
8316,Java,f,project290,1156
8317,Rust,f,project291,1176
8318,Python,t,project292,1192
8319,Go,t,project293,817
8320,Go,t,project294,1304
8321,Rust,t,project295,1102
8322,Go,f,project296,887
8323,Java,t,project297,850
8324,Java,f,project298,961
8325,Python,t,project299,956
8326,Go,f,project300,1020
8327,Rust,f,project301,1074
8328,Java,t,project302,1016
8329,Go,f,project303,786
8330,Go,t,project304,1313
8331,Java,t,project305,1326
8332,Rust,f,project306,1147
8333,Python,t,project307,1029
8334,Rust,f,project308,1296
8335,Java,f,project309,1323
8336,Python,f,project310,790
8337,Rust,t,project311,776
8338,Python,f,project312,1105
8339,Java,t,project313,941
8340,Python,f,project314,1275
8341,Rust,f,project315,1293
8342,Rust,t,project316,1032
8343,Java,t,project317,965
8344,Python,t,project318,1320
8345,Rust,f,project319,698
8346,Python,t,project320,1324
8347,Go,t,project321,752
8348,Go,t,project322,850
8349,Go,t,project323,887
8350,Go,t,project324,1292
8351,Python,t,project325,1265
8352,Go,f,project326,747
8353,Rust,t,project327,1051
8354,Python,f,project328,1159
8355,Python,t,project329,1204
8356,Go,t,project330,699
8357,Java,t,project331,778
8358,Go,f,project332,1227
8359,Go,f,project333,1270
8360,Go,t,project334,884
8361,Python,t,project335,1101
8362,Python,t,project336,890
8363,Python,f,project337,1004
8364,Go,t,project338,924
8365,Go,t,project339,1338
8366,Python,f,project340,1062
8367,Go,t,project341,1049
8368,Java,f,project342,1073
8369,Go,f,project343,1294
8370,Python,f,project344,719
8371,Rust,t,project345,1305
8372,Go,t,project346,1154
8373,Python,f,project347,857
8374,Python,f,project348,859
8375,Python,f,project349,740
8376,Java,f,project350,945
8377,Python,f,project351,917
8378,Java,t,project352,1117
8379,Python,t,project353,1013
8380,Java,t,project354,1234
8381,Python,t,project355,1208
8382,Python,f,project356,712
8383,Rust,t,project357,1038
8384,Rust,t,project358,1041
8385,Go,t,project359,801
8386,Java,t,project360,1113
8387,Java,t,project361,704
8388,Python,f,project362,956
8389,Go,f,project363,860
8390,Go,f,project364,1009
8391,Python,t,project365,746
8392,Go,f,project366,1161
8393,Java,t,project367,1219
8394,Rust,t,project368,799
8395,Java,t,project369,1263
8396,Java,f,project370,952
8397,Rust,f,project371,1104
8398,Go,f,project372,1251
8399,Go,f,project373,1009
8400,Go,t,project374,723
8401,Java,f,project375,754
8402,Rust,t,project376,1008
8403,Python,t,project377,970
8404,Go,f,project378,699
8405,Go,t,project379,1306
8406,Go,t,project380,827
8407,Rust,f,project381,1133
8408,Java,f,project382,1077
8409,Python,f,project383,738
8410,Rust,t,project384,1060
8411,Python,f,project385,782
8412,Python,f,project386,683
8413,Python,t,project387,789
8414,Rust,t,project388,961
8415,Rust,t,project389,949
8416,Python,t,project390,752
8417,Python,t,project391,1297
8418,Java,t,project392,1191
8419,Go,t,project393,1212
8420,Rust,f,project394,875
8421,Rust,t,project395,1327
8422,Java,f,project396,741
8423,Python,t,project397,796
8424,Rust,t,project398,1217
8425,Rust,f,project399,787
8426,Java,f,project400,880
8427,Rust,f,project401,748
8428,Rust,t,project402,1019
8429,Python,f,project403,747
8430,Go,t,project404,1112
8431,Python,t,project405,831
8432,Rust,t,project406,813
8433,Go,t,project407,1109
8434,Python,t,project408,1283
8435,Python,t,project409,927
8436,Java,t,project410,843
8437,Python,t,project411,1283
8438,Go,f,project412,1010
8439,Python,f,project413,737
8440,Java,t,project414,932
8441,Python,f,project415,1256
8442,Rust,f,project416,1157
8443,Rust,f,project417,1164
8444,Python,f,project418,1176
8445,Python,f,project419,1054
8446,Rust,t,project420,913
8447,Go,t,project421,733
8448,Rust,f,project422,1020
8449,Java,f,project423,688
8450,Rust,t,project424,1155
8451,Go,f,project425,1316
8452,Rust,f,project426,1135
8453,Python,t,project427,1087
8454,Go,t,project428,941
8455,Java,t,project429,1096
8456,Go,t,project430,1053
8457,Rust,t,project431,1103
8458,Python,t,project432,790
8459,Java,f,project433,1210
8460,Python,f,project434,718
8461,Rust,f,project435,1115
8462,Rust,t,project436,1277
8463,Java,f,project437,883
8464,Rust,t,project438,1027
8465,Go,f,project439,874
8466,Java,t,project440,695
8467,Python,f,project441,959
8468,Rust,t,project442,1255
8469,Rust,f,project443,861
8470,Java,t,project444,971
8471,Go,f,project445,1244
8472,Rust,t,project446,1229
8473,Rust,f,project447,1291
8474,Python,f,project448,820
8475,Rust,f,project449,1206
8476,Python,f,project450,856
8477,Rust,t,project451,1116
8478,Python,t,project452,904
8479,Go,f,project453,895
8480,Go,f,project454,1027
8481,Go,f,project455,1258
8482,Rust,t,project456,804
8483,Go,t,project457,1281
8484,Rust,f,project458,1150
8485,Java,t,project459,751
8486,Python,t,project460,1177
8487,Java,t,project461,1070
8488,Python,t,project462,1194
8489,Python,f,project463,1092
8490,Python,f,project464,832
8491,Rust,t,project465,1072
8492,Python,t,project466,1281
8493,Go,t,project467,1102
8494,Rust,f,project468,1207
8495,Rust,f,project469,988
8496,Rust,t,project470,1320
8497,Go,f,project471,1048
8498,Rust,f,project472,885
8499,Rust,t,project473,957
8500,Rust,f,project474,1198
8501,Go,f,project475,925
8502,Java,f,project476,1041
8503,Python,f,project477,1164
8504,Python,f,project478,1192
8505,Java,t,project479,1036
8506,Go,t,project480,1089
8507,Go,t,project481,1121
8508,Rust,f,project482,694
8509,Go,f,project483,1285
8510,Python,f,project484,1256
8511,Rust,t,project485,972
8512,Go,f,project486,705
8513,Python,t,project487,860
8514,Python,f,project488,710
8515,Rust,t,project489,1305
8516,Rust,t,project490,964
8517,Rust,f,project491,1258
8518,Python,f,project492,839
8519,Rust,t,project493,732
8520,Java,t,project494,1103
8521,Python,f,project495,1256
8522,Go,t,project496,711
8523,Rust,t,project497,852
8524,Python,t,project498,1253
8525,Python,t,project499,1163
8526,Go,f,project500,1134
8527,Python,t,project501,744
8528,Rust,f,project502,811
8529,Rust,f,project503,1307
8530,Go,t,project504,688
8531,Java,t,project505,1004
8532,Go,t,project506,869
8533,Go,f,project507,937
8534,Rust,f,project508,1067
8535,Go,f,project509,755
8536,Go,f,project510,684
8537,Rust,t,project511,867
8538,Rust,f,project512,951
8539,Rust,f,project513,711
8540,Go,f,project514,779
8541,Python,t,project515,1254
8542,Go,t,project516,1269
8543,Rust,f,project517,1046
8544,Rust,f,project518,823
8545,Rust,t,project519,1097
8546,Python,t,project520,1078
8547,Java,t,project521,963
8548,Rust,f,project522,917
8549,Rust,f,project523,1130
8550,Rust,t,project524,876
8551,Rust,f,project525,920
8552,Java,t,project526,1304
8553,Rust,f,project527,1255
8554,Rust,f,project528,1113
8555,Java,f,project529,1175
8556,Go,t,project530,1260
8557,Java,f,project531,1110
8558,Go,t,project532,877
8559,Rust,f,project533,712
8560,Java,t,project534,853
8561,Java,t,project535,1176
8562,Rust,f,project536,1310
8563,Java,f,project537,684
8564,Java,t,project538,1327
8565,Java,f,project539,866
8566,Java,f,project540,865
8567,Python,t,project541,755
8568,Python,t,project542,1175
8569,Python,t,project543,927
8570,Python,t,project544,1188
8571,Rust,f,project545,983
8572,Java,f,project546,1209
8573,Go,t,project547,868
8574,Java,t,project548,763
8575,Python,t,project549,1028
8576,Python,f,project550,910
8577,Rust,t,project551,929
8578,Python,f,project552,826
8579,Go,t,project553,871
8580,Java,t,project554,1120
8581,Go,f,project555,1064
8582,Go,t,project556,1335
8583,Go,f,project557,837
8584,Rust,t,project558,767
8585,Go,f,project559,1009
8586,Go,t,project560,980
8587,Go,f,project561,852
8588,Rust,t,project562,1096
8589,Rust,f,project563,1341
8590,Python,f,project564,1228
8591,Rust,t,project565,1294
8592,Python,f,project566,809
8593,Rust,f,project567,960
8594,Rust,t,project568,895
8595,Python,f,project569,1017
8596,Go,f,project570,1299
8597,Rust,t,project571,809
8598,Java,f,project572,889
8599,Python,t,project573,975
8600,Go,t,project574,1194
8601,Go,t,project575,1078
8602,Python,t,project576,1048
8603,Java,t,project577,813
8604,Rust,f,project578,866
8605,Rust,t,project579,1230
8606,Java,t,project580,799
8607,Rust,t,project581,893
8608,Go,t,project582,775
8609,Java,t,project583,767
8610,Go,t,project584,1055
8611,Python,t,project585,1036
8612,Python,t,project586,1158
8613,Go,t,project587,1190
8614,Java,f,project588,1135
8615,Python,f,project589,790
8616,Rust,f,project590,1171
8617,Go,f,project591,723
8618,Python,t,project592,939
8619,Java,f,project593,798
8620,Java,f,project594,1128
8621,Go,t,project595,1079
8622,Go,f,project596,1310
8623,Rust,f,project597,1182
8624,Java,f,project598,696
8625,Java,f,project599,1176
8626,Go,f,project600,1350
8627,Python,t,project601,979
8628,Python,f,project602,963
8629,Java,f,project603,995
8630,Python,t,project604,1284
8631,Rust,f,project605,875
8632,Java,f,project606,1043
8633,Go,f,project607,714
8634,Java,f,project608,1109
8635,Python,t,project609,780
8636,Rust,f,project610,913
8637,Java,f,project611,827
8638,Java,f,project612,927
8639,Python,f,project613,988
8640,Go,f,project614,708
8641,Go,f,project615,911
8642,Python,t,project616,1199
8643,Rust,t,project617,1342
8644,Java,t,project618,1194
8645,Python,f,project619,1046
8646,Python,f,project620,1089
8647,Go,t,project621,822
8648,Python,f,project622,939
8649,Rust,t,project623,798
8650,Java,f,project624,1308
8651,Rust,t,project625,1201
8652,Go,f,project626,930
8653,Rust,f,project627,686
8654,Rust,t,project628,771
8655,Java,f,project629,834
8656,Python,f,project630,981
8657,Rust,t,project631,1304
8658,Rust,f,project632,1091
8659,Rust,t,project633,897
8660,Java,t,project634,789
8661,Java,t,project635,1342
8662,Rust,t,project636,1065
8663,Python,t,project637,1280
8664,Rust,f,project638,1163
8665,Python,f,project639,1014
8666,Rust,f,project640,944
8667,Go,f,project641,760
8668,Go,f,project642,1126
8669,Rust,f,project643,1166
8670,Go,f,project644,783
8671,Rust,f,project645,1194
8672,Rust,f,project646,1236
8673,Python,t,project647,1344
8674,Rust,f,project648,882
8675,Java,f,project649,1107
8676,Rust,f,project650,1004
8677,Python,f,project651,1000
8678,Java,t,project652,729
8679,Rust,t,project653,1337
8680,Java,t,project654,935
8681,Python,f,project655,1343
8682,Rust,t,project656,926
8683,Go,t,project657,1032
8684,Java,f,project658,1065
8685,Go,t,project659,1130
8686,Python,t,project660,1100
8687,Rust,f,project661,1192
8688,Go,t,project662,823
8689,Java,f,project663,1153
8690,Go,t,project664,1267
8691,Rust,f,project665,686
8692,Java,f,project666,1035
8693,Java,t,project667,886
8694,Go,t,project668,1242
8695,Go,f,project669,1026
8696,Rust,f,project670,805
8697,Go,f,project671,1187
8698,Java,f,project672,1109
8699,Go,f,project673,1179
8700,Go,t,project674,833
8701,Java,t,project675,1342
8702,Rust,t,project676,1168
8703,Rust,t,project677,1290
8704,Python,t,project678,856
8705,Python,t,project679,1286
8706,Rust,f,project680,1153
8707,Go,f,project681,798
8708,Python,f,project682,1117
8709,Python,f,project683,700
8710,Java,t,project684,687
8711,Java,f,project685,1259
8712,Python,t,project686,1220
8713,Python,f,project687,945
8714,Rust,t,project688,826
8715,Java,f,project689,1316
8716,Python,t,project690,1068
8717,Java,t,project691,973
8718,Python,f,project692,1342
8719,Java,f,project693,695
8720,Python,f,project694,1299
8721,Java,f,project695,1005
8722,Rust,f,project696,716
8723,Java,t,project697,1158
8724,Java,f,project698,700
8725,Rust,f,project699,773
8726,Python,f,project700,1050
8727,Python,t,project701,1224
8728,Java,t,project702,780
8729,Python,t,project703,864
8730,Java,f,project704,1069
8731,Go,f,project705,1222
8732,Rust,t,project706,1279
8733,Rust,f,project707,767
8734,Python,t,project708,934
8735,Python,f,project709,1029
8736,Python,f,project710,894
8737,Rust,f,project711,989
8738,Java,t,project712,680
8739,Go,t,project713,741
8740,Java,t,project714,1312
8741,Python,f,project715,1219
8742,Rust,f,project716,770
8743,Java,t,project717,692
8744,Rust,t,project718,920
8745,Rust,f,project719,703
8746,Python,t,project720,864
8747,Go,f,project721,777
8748,Rust,f,project722,1003
8749,Python,f,project723,1323
8750,Go,f,project724,842
8751,Java,t,project725,812
8752,Rust,t,project726,823
8753,Python,t,project727,1266
8754,Java,t,project728,1246
8755,Rust,t,project729,1205
8756,Rust,t,project730,907
8757,Rust,t,project731,1121
8758,Python,f,project732,926
8759,Java,t,project733,1240
8760,Rust,f,project734,984
8761,Python,t,project735,940
8762,Rust,f,project736,1230
8763,Python,t,project737,766
8764,Java,f,project738,1031
8765,Python,f,project739,1012
8766,Rust,t,project740,681
8767,Rust,t,project741,1228
8768,Rust,t,project742,1330
8769,Python,t,project743,781
8770,Java,f,project744,1238
8771,Java,f,project745,1315
8772,Rust,t,project746,1157
8773,Java,f,project747,928
8774,Go,t,project748,703
8775,Java,t,project749,714
8776,Go,t,project750,1175
8777,Python,f,project751,716
8778,Python,t,project752,1087
8779,Rust,f,project753,997
8780,Rust,f,project754,1151
8781,Python,f,project755,939
8782,Python,t,project756,964
8783,Go,f,project757,1078
8784,Go,t,project758,1213
8785,Java,t,project759,941
8786,Rust,f,project760,688
8787,Rust,f,project761,857
8788,Go,t,project762,1255
8789,Rust,f,project763,1286
8790,Go,t,project764,823
8791,Rust,t,project765,1256
8792,Python,f,project766,932
8793,Java,t,project767,1220
8794,Java,f,project768,954
8795,Go,t,project769,777
8796,Python,f,project770,1131
8797,Python,t,project771,1045
8798,Python,f,project772,729
8799,Go,f,project773,686
8800,Java,t,project774,1338
8801,Rust,f,project775,838
8802,Go,f,project776,998
8803,Java,f,project777,1175
8804,Rust,f,project778,799
8805,Go,t,project779,741
8806,Go,f,project780,1026
8807,Go,t,project781,894
8808,Java,f,project782,862
8809,Java,t,project783,987
8810,Go,t,project784,867
8811,Python,t,project785,1108
8812,Go,t,project786,776
8813,Go,f,project787,1068
8814,Python,f,project788,870
8815,Java,f,project789,1160
8816,Java,t,project790,1093
8817,Rust,t,project791,810
8818,Rust,f,project792,698
8819,Python,t,project793,991
8820,Rust,t,project794,765
8821,Go,t,project795,990
8822,Rust,f,project796,1236
8823,Go,t,project797,880
8824,Go,t,project798,1201
8825,Go,t,project799,1048
8826,Go,f,project800,1056
8827,Python,f,project801,688
8828,Java,t,project802,785
8829,Java,t,project803,805
8830,Rust,t,project804,1288
8831,Rust,t,project805,751
8832,Java,t,project806,1057
8833,Java,t,project807,1118
8834,Java,f,project808,877
8835,Rust,t,project809,905
8836,Python,t,project810,1335
8837,Rust,t,project811,913
8838,Python,t,project812,776
8839,Go,f,project813,1174
8840,Java,t,project814,694
8841,Python,t,project815,1092
8842,Python,t,project816,1257
8843,Java,f,project817,753
8844,Java,t,project818,1166
8845,Java,t,project819,699
8846,Rust,f,project820,894
8847,Go,f,project821,1106
8848,Java,t,project822,928
8849,Java,t,project823,907
8850,Python,f,project824,766
8851,Java,f,project825,1221
8852,Java,t,project826,778
8853,Java,t,project827,690
8854,Java,f,project828,1085
8855,Go,t,project829,1110
8856,Python,t,project830,1008
8857,Java,t,project831,787
8858,Rust,f,project832,1011
8859,Rust,f,project833,719
8860,Go,t,project834,1315
8861,Python,t,project835,1248
8862,Go,t,project836,915
8863,Go,f,project837,1090
8864,Go,t,project838,991
8865,Rust,t,project839,960
8866,Rust,f,project840,1311
8867,Go,t,project841,1043
8868,Python,t,project842,1291
8869,Java,t,project843,1212
8870,Rust,f,project844,695
8871,Java,f,project845,1266
8872,Go,t,project846,1164
8873,Java,f,project847,980
8874,Java,f,project848,1304
8875,Rust,t,project849,1249
8876,Java,t,project850,1084
8877,Java,f,project851,899
8878,Go,t,project852,1117
8879,Rust,t,project853,1189
8880,Java,f,project854,728
8881,Rust,f,project855,995
8882,Rust,t,project856,829
8883,Rust,f,project857,1145
8884,Python,f,project858,1206
8885,Go,t,project859,780
8886,Rust,f,project860,1140
8887,Go,t,project861,1074
8888,Java,t,project862,1160
8889,Java,f,project863,839
8890,Python,t,project864,1036
8891,Python,t,project865,1240
8892,Go,f,project866,1273
8893,Rust,f,project867,788
8894,Python,t,project868,893
8895,Go,t,project869,896
8896,Java,f,project870,769
8897,Go,t,project871,1315
8898,Python,f,project872,1088
8899,Go,f,project873,927
8900,Go,t,project874,1095
8901,Rust,f,project875,761
8902,Go,f,project876,1051
8903,Python,f,project877,1157
8904,Python,f,project878,1062
8905,Python,f,project879,679
8906,Python,f,project880,1078
8907,Python,f,project881,1061
8908,Python,t,project882,850
8909,Rust,t,project883,907
8910,Java,t,project884,1209
8911,Go,f,project885,899
8912,Java,t,project886,742
8913,Python,f,project887,691
8914,Java,t,project888,1075
8915,Python,f,project889,1095
8916,Java,t,project890,842
8917,Go,f,project891,679
8918,Java,f,project892,889
8919,Java,f,project893,683
8920,Go,f,project894,1031
8921,Go,t,project895,1084
8922,Go,f,project896,867
8923,Rust,t,project897,1230
8924,Java,t,project898,1200
8925,Rust,t,project899,750
8926,Java,t,project900,788
8927,Java,f,project901,1106
8928,Python,f,project902,1124
8929,Rust,t,project903,1303
8930,Rust,t,project904,907
8931,Java,f,project905,927
8932,Rust,f,project906,781
8933,Go,t,project907,1080
8934,Python,t,project908,1235
8935,Rust,f,project909,1048
8936,Rust,f,project910,1085
8937,Go,f,project911,1047
8938,Python,t,project912,805
8939,Java,t,project913,1299
8940,Python,f,project914,678
8941,Rust,f,project915,1018
8942,Go,t,project916,795
8943,Java,f,project917,700
8944,Go,f,project918,1145
8945,Rust,f,project919,790
8946,Go,t,project920,1266
8947,Java,t,project921,1308
8948,Java,f,project922,1344
8949,Java,t,project923,803
8950,Go,f,project924,710
8951,Java,t,project925,868
8952,Rust,t,project926,1090
8953,Java,t,project927,1016
8954,Go,f,project928,805
8955,Go,t,project929,1049
8956,Java,t,project930,1036
8957,Rust,t,project931,856
8958,Go,f,project932,759
8959,Go,f,project933,863
8960,Rust,f,project934,996
8961,Go,f,project935,1018
8962,Java,t,project936,1010
8963,Java,t,project937,1147
8964,Go,t,project938,796
8965,Go,f,project939,710
8966,Rust,f,project940,845
8967,Python,t,project941,721
8968,Python,t,project942,928
8969,Python,t,project943,1312
8970,Python,t,project944,917
8971,Go,t,project945,1023
8972,Go,f,project946,1236
8973,Java,f,project947,720
8974,Rust,t,project948,748
8975,Rust,f,project949,1238
8976,Python,t,project950,1008
8977,Python,f,project951,1085
8978,Java,f,project952,1101
8979,Rust,t,project953,1159
8980,Go,f,project954,917
8981,Python,t,project955,988
8982,Java,t,project956,931
8983,Java,f,project957,878
8984,Rust,t,project958,1258
8985,Rust,f,project959,1220
8986,Rust,f,project960,820
8987,Python,f,project961,1200
8988,Go,t,project962,764
8989,Rust,f,project963,896
8990,Rust,f,project964,954
8991,Java,t,project965,1024
8992,Java,f,project966,893
8993,Python,f,project967,944
8994,Java,t,project968,1251
8995,Python,t,project969,987
8996,Python,f,project970,885
8997,Rust,t,project971,1079
8998,Rust,t,project972,1018
8999,Python,t,project973,1294
9000,Rust,t,project974,779
9001,Python,t,project975,1213
9002,Go,t,project976,964
9003,Rust,f,project977,1243
9004,Python,f,project978,1334
9005,Rust,f,project979,1025
9006,Java,t,project980,1227
9007,Java,f,project981,1109
9008,Python,f,project982,838
9009,Python,t,project983,906
9010,Java,t,project984,1261
9011,Java,f,project985,767
9012,Go,t,project986,806
9013,Go,t,project987,979
9014,Rust,t,project988,1267
9015,Rust,t,project989,1013
9016,Go,t,project990,839
9017,Python,f,project991,1301
9018,Go,f,project992,926
9019,Go,f,project993,1318
9020,Python,t,project994,838
9021,Python,t,project995,946
9022,Python,f,project996,806
9023,Java,t,project997,1047
9024,Rust,f,project998,1001
9025,Java,t,project999,891
